Ano;Território;Desemprego 25-34 anos;Desemprego 35-44 anos;Desemprego 45-54 anos;Desemprego 55+ anos;População com 1º Ciclo;População com 2º Ciclo;População com 3º Ciclo/Secundário;Pré-Escolar;População Empregada - Homens;População Empregada - Mulheres;População Empregada - Total
2009;Serpa;148.2;169.6;162.4;175.1;228.6;64.3;31.5;75.0;;;742.3
2009;Sertã;133.7;125.8;104.2;63.1;350.0;92.3;32.7;100.0;;;555.8
2009;Sesimbra;477.2;358.0;364.8;231.3;57.4;110.5;90.9;133.3;;;1603.8
2009;Setúbal;1717.3;1450.1;1310.0;1084.5;95.3;270.4;184.9;43.6;;;6312.3
2009;Sever do Vouga;85.3;96.6;111.5;95.5;133.3;83.3;19.4;400.0;;;444.7
2009;Silves;419.2;385.3;337.8;243.9;33.3;82.4;51.0;35.7;;;1572.5
2009;Sines;211.3;162.3;169.9;104.4;144.4;127.3;110.5;37.5;;;765.3
2009;Sintra;4086.1;4360.0;3511.9;2826.9;47.2;125.2;137.4;60.6;;;16295.3
2009;Sobral de Monte Agraço;72.8;80.9;62.1;46.4;14.3;80.0;38.9;33.3;;;322.7
2009;Soure;158.0;103.3;143.1;167.1;228.6;135.7;73.1;200.0;;;675.8
2009;Sousel;51.4;30.2;23.4;34.7;;400.0;21.4;;;;163.0
2009;Sátão;141.7;127.7;119.9;86.5;120.0;133.3;61.3;;;;577.5
2009;São Brás de Alportel;64.0;49.7;37.9;34.8;85.7;41.7;39.5;40.0;;;233.3
2009;São João da Madeira;256.4;249.9;272.1;244.4;46.2;129.6;58.0;100.0;;;1203.8
2009;São João da Pesqueira;86.1;56.3;65.2;31.5;133.3;133.3;35.3;;;;287.2
2009;São Pedro do Sul;144.4;115.2;145.5;139.9;120.0;188.9;58.0;57.1;;;649.4
2009;Tabuaço;67.5;66.9;83.0;64.9;75.0;300.0;19.0;66.7;;;333.8
2009;Tarouca;92.3;107.8;97.8;53.3;350.0;90.9;35.3;400.0;;;414.6
2009;Tavira;207.3;208.8;178.5;127.3;50.0;209.1;115.9;44.4;;;834.3
2009;Terras de Bouro;80.7;82.0;89.1;76.6;16.7;45.5;8.8;50.0;;;377.8
2009;Tomar;401.6;338.3;313.3;233.7;150.0;209.5;148.3;170.0;;;1577.9
2009;Tondela;180.1;140.3;184.7;191.6;129.4;337.5;74.5;400.0;;;825.5
2009;Torre de Moncorvo;97.3;96.9;102.0;108.8;1800.0;600.0;73.7;300.0;;;470.3
2009;Torres Novas;307.8;232.8;225.3;215.4;93.9;216.7;97.0;106.3;;;1152.5
2009;Torres Vedras;766.4;608.0;492.6;381.3;45.6;147.9;70.3;64.9;;;2732.8
2009;Trancoso;41.2;47.5;36.7;27.5;1500.0;54.5;44.1;400.0;;;197.8
2009;Trofa;671.1;806.5;849.8;684.8;52.1;130.0;72.4;136.4;;;3463.2
2009;Tábua;81.3;88.6;106.5;97.1;36.8;114.3;55.0;133.3;;;446.9
2009;Vagos;208.9;152.8;137.1;122.5;78.9;140.0;104.5;100.0;;;744.8
2009;Vale de Cambra;179.2;130.6;147.8;140.1;76.5;94.7;87.5;800.0;;;715.6
