Ano,Território,Desemprego 25-34 anos,População com 1º Ciclo,População com 2º Ciclo,População com 3º Ciclo/Secundário,Pré-Escolar,População Empregada - Homens,População Empregada - Total,Cluster
2009,Resende,158.1,250.0,116.7,15.0,608.1002453557659,3481.5006715916725,678.7,1
2009,Ribeira de Pena,79.7,911.898627596439,50.0,25.0,66.7,3481.5006715916725,425.5,1
2009,Rio Maior,141.8,64.5,170.0,55.1,57.1,3481.5006715916725,557.5,1
2009,Sabrosa,71.7,466.7,300.0,45.5,608.1002453557659,3481.5006715916725,319.9,1
2009,Sabugal,70.9,911.898627596439,154.5,95.7,608.1002453557659,3481.5006715916725,287.0,1
2009,Salvaterra de Magos,309.7,73.7,60.0,34.2,50.0,3481.5006715916725,1481.9,1
2009,Santa Comba Dão,86.7,228.6,325.0,73.7,100.0,3481.5006715916725,385.3,1
2009,Santa Maria da Feira,1710.4,32.5,110.1,74.2,98.0,3481.5006715916725,8319.0,0
2009,Santa Marta de Penaguião,114.4,911.898627596439,150.0,45.5,608.1002453557659,3481.5006715916725,458.3,1
2009,Santarém,507.9,78.9,106.1,86.2,72.2,3481.5006715916725,2016.3,1
2009,Santiago do Cacém,314.6,95.7,566.7,77.6,23.1,3481.5006715916725,1230.2,1
2009,Santo Tirso,1072.0,40.6,95.3,56.6,108.0,3481.5006715916725,6759.3,0
2009,Sardoal,39.0,66.7,150.0,40.0,608.1002453557659,3481.5006715916725,179.7,1
2009,Seia,275.7,450.0,200.0,75.9,212.5,3481.5006715916725,1582.7,1
2009,Seixal,1726.0,52.7,143.3,160.9,31.5,3481.5006715916725,6699.3,0
2009,Sernancelhe,38.0,71.4,250.0,11.8,100.0,3481.5006715916725,186.0,1
2009,Serpa,148.2,228.6,64.3,31.5,75.0,3481.5006715916725,742.3,1
2009,Sertã,133.7,350.0,92.3,32.7,100.0,3481.5006715916725,555.8,1
2009,Sesimbra,477.2,57.4,110.5,90.9,133.3,3481.5006715916725,1603.8,1
2009,Setúbal,1717.3,95.3,270.4,184.9,43.6,3481.5006715916725,6312.3,0
2009,Sever do Vouga,85.3,133.3,83.3,19.4,400.0,3481.5006715916725,444.7,1
2009,Silves,419.2,33.3,82.4,51.0,35.7,3481.5006715916725,1572.5,1
2009,Sines,211.3,144.4,127.3,110.5,37.5,3481.5006715916725,765.3,1
2009,Sobral de Monte Agraço,72.8,14.3,80.0,38.9,33.3,3481.5006715916725,322.7,1
2009,Soure,158.0,228.6,135.7,73.1,200.0,3481.5006715916725,675.8,1
2009,Sousel,51.4,911.898627596439,400.0,21.4,608.1002453557659,3481.5006715916725,163.0,2
2009,Sátão,141.7,120.0,133.3,61.3,608.1002453557659,3481.5006715916725,577.5,1
2009,São Brás de Alportel,64.0,85.7,41.7,39.5,40.0,3481.5006715916725,233.3,1
2009,São João da Madeira,256.4,46.2,129.6,58.0,100.0,3481.5006715916725,1203.8,1
2009,São João da Pesqueira,86.1,133.3,133.3,35.3,608.1002453557659,3481.5006715916725,287.2,1
2009,São Pedro do Sul,144.4,120.0,188.9,58.0,57.1,3481.5006715916725,649.4,1
2009,Tabuaço,67.5,75.0,300.0,19.0,66.7,3481.5006715916725,333.8,1
2009,Tarouca,92.3,350.0,90.9,35.3,400.0,3481.5006715916725,414.6,1
2009,Tavira,207.3,50.0,209.1,115.9,44.4,3481.5006715916725,834.3,1
2009,Terras de Bouro,80.7,16.7,45.5,8.8,50.0,3481.5006715916725,377.8,1
2009,Tomar,401.6,150.0,209.5,148.3,170.0,3481.5006715916725,1577.9,1
2009,Tondela,180.1,129.4,337.5,74.5,400.0,3481.5006715916725,825.5,1
2009,Torre de Moncorvo,97.3,1800.0,600.0,73.7,300.0,3481.5006715916725,470.3,2
2009,Torres Novas,307.8,93.9,216.7,97.0,106.3,3481.5006715916725,1152.5,1
2009,Torres Vedras,766.4,45.6,147.9,70.3,64.9,3481.5006715916725,2732.8,1
2009,Trancoso,41.2,1500.0,54.5,44.1,400.0,3481.5006715916725,197.8,2
2009,Trofa,671.1,52.1,130.0,72.4,136.4,3481.5006715916725,3463.2,1
2009,Tábua,81.3,36.8,114.3,55.0,133.3,3481.5006715916725,446.9,1
2009,Vagos,208.9,78.9,140.0,104.5,100.0,3481.5006715916725,744.8,1
2009,Vale de Cambra,179.2,76.5,94.7,87.5,800.0,3481.5006715916725,715.6,1
2009,Valença,162.2,166.7,116.7,51.6,150.0,3481.5006715916725,626.8,1
2009,Valongo,1597.6,55.2,147.3,126.2,75.7,3481.5006715916725,6917.7,0
2009,Valpaços,139.1,775.0,180.0,34.7,233.3,3481.5006715916725,710.5,1
2009,Vendas Novas,116.9,200.0,133.3,65.8,100.0,3481.5006715916725,398.1,1
2009,Viana do Alentejo,54.9,600.0,133.3,33.3,40.0,3481.5006715916725,223.8,1
2009,Viana do Castelo,916.1,132.8,198.4,93.3,102.6,3481.5006715916725,3818.6,0
2009,Vidigueira,58.4,100.0,600.0,77.8,150.0,3481.5006715916725,246.6,1
2009,Vieira do Minho,188.7,180.0,87.5,37.5,16.7,3481.5006715916725,863.3,1
2009,Vila Flor,71.6,911.898627596439,100.0,57.1,66.7,3481.5006715916725,333.7,1
2009,Vila Franca de Xira,1607.8,43.5,92.6,109.0,38.5,3481.5006715916725,5869.9,0
2009,Vila Nova da Barquinha,65.3,200.0,125.0,100.0,150.0,3481.5006715916725,234.4,1
2009,Vila Nova de Cerveira,101.6,125.0,275.0,26.7,125.0,3481.5006715916725,384.7,1
2009,Vila Nova de Famalicão,1555.1,73.4,101.9,41.3,47.3,3481.5006715916725,8429.3,0
2009,Vila Nova de Foz Côa,76.8,220.0,100.0,133.3,100.0,3481.5006715916725,269.1,1
2009,Vila Nova de Paiva,77.1,87.5,133.3,29.6,100.0,3481.5006715916725,322.9,1
2009,Vila Nova de Poiares,66.7,125.0,114.3,114.3,608.1002453557659,3481.5006715916725,257.2,1
