Ano,25-34,Básico - 1º Ciclo,Básico - 2º Ciclo,Básico - 3º Ciclo e secundário,Educação Pré-Escolar,Homens
2009,86.7,228.6,325.0,73.7,100.0,4006.4644790257103
2009,1710.4,32.5,110.1,74.2,98.0,4006.4644790257103
2009,114.4,908.5050445103858,150.0,45.5,606.0225288159273,4006.4644790257103
2009,507.9,78.9,106.1,86.2,72.2,4006.4644790257103
2009,314.6,95.7,566.7,77.6,23.1,4006.4644790257103
2009,1072.0,40.6,95.3,56.6,108.0,4006.4644790257103
2009,39.0,66.7,150.0,40.0,606.0225288159273,4006.4644790257103
2009,275.7,450.0,200.0,75.9,212.5,4006.4644790257103
2009,1726.0,52.7,143.3,160.9,31.5,4006.4644790257103
2009,38.0,71.4,250.0,11.8,100.0,4006.4644790257103
2009,148.2,228.6,64.3,31.5,75.0,4006.4644790257103
2009,133.7,350.0,92.3,32.7,100.0,4006.4644790257103
2009,477.2,57.4,110.5,90.9,133.3,4006.4644790257103
2009,1717.3,95.3,270.4,184.9,43.6,4006.4644790257103
2009,85.3,133.3,83.3,19.4,400.0,4006.4644790257103
2009,419.2,33.3,82.4,51.0,35.7,4006.4644790257103
2009,211.3,144.4,127.3,110.5,37.5,4006.4644790257103
2009,72.8,14.3,80.0,38.9,33.3,4006.4644790257103
2009,158.0,228.6,135.7,73.1,200.0,4006.4644790257103
2009,51.4,908.5050445103858,400.0,21.4,606.0225288159273,4006.4644790257103
2009,141.7,120.0,133.3,61.3,606.0225288159273,4006.4644790257103
2009,64.0,85.7,41.7,39.5,40.0,4006.4644790257103
2009,256.4,46.2,129.6,58.0,100.0,4006.4644790257103
2009,86.1,133.3,133.3,35.3,606.0225288159273,4006.4644790257103
2009,144.4,120.0,188.9,58.0,57.1,4006.4644790257103
2009,67.5,75.0,300.0,19.0,66.7,4006.4644790257103
2009,92.3,350.0,90.9,35.3,400.0,4006.4644790257103
2009,207.3,50.0,209.1,115.9,44.4,4006.4644790257103
2009,80.7,16.7,45.5,8.8,50.0,4006.4644790257103
2009,401.6,150.0,209.5,148.3,170.0,4006.4644790257103
2009,180.1,129.4,337.5,74.5,400.0,4006.4644790257103
2009,97.3,1800.0,600.0,73.7,300.0,4006.4644790257103
2009,307.8,93.9,216.7,97.0,106.3,4006.4644790257103
2009,766.4,45.6,147.9,70.3,64.9,4006.4644790257103
2009,41.2,1500.0,54.5,44.1,400.0,4006.4644790257103
2009,671.1,52.1,130.0,72.4,136.4,4006.4644790257103
2009,81.3,36.8,114.3,55.0,133.3,4006.4644790257103
2009,208.9,78.9,140.0,104.5,100.0,4006.4644790257103
2009,179.2,76.5,94.7,87.5,800.0,4006.4644790257103
2009,162.2,166.7,116.7,51.6,150.0,4006.4644790257103
2009,1597.6,55.2,147.3,126.2,75.7,4006.4644790257103
2009,139.1,775.0,180.0,34.7,233.3,4006.4644790257103
2009,116.9,200.0,133.3,65.8,100.0,4006.4644790257103
2009,54.9,600.0,133.3,33.3,40.0,4006.4644790257103
2009,916.1,132.8,198.4,93.3,102.6,4006.4644790257103
2009,58.4,100.0,600.0,77.8,150.0,4006.4644790257103
2009,188.7,180.0,87.5,37.5,16.7,4006.4644790257103
2009,71.6,908.5050445103858,100.0,57.1,66.7,4006.4644790257103
2009,1607.8,43.5,92.6,109.0,38.5,4006.4644790257103
2009,65.3,200.0,125.0,100.0,150.0,4006.4644790257103
2009,101.6,125.0,275.0,26.7,125.0,4006.4644790257103
2009,1555.1,73.4,101.9,41.3,47.3,4006.4644790257103
2009,76.8,220.0,100.0,133.3,100.0,4006.4644790257103
2009,77.1,87.5,133.3,29.6,100.0,4006.4644790257103
2009,66.7,125.0,114.3,114.3,606.0225288159273,4006.4644790257103
2009,131.4,2400.0,316.7,52.2,66.7,4006.4644790257103
2009,793.8,661.5,210.5,128.7,88.9,4006.4644790257103
2009,248.0,42.9,100.0,47.8,606.0225288159273,4006.4644790257103
2009,13.8,908.5050445103858,50.0,40.0,606.0225288159273,4006.4644790257103
2009,543.1,85.4,156.3,48.4,183.3,4006.4644790257103
2009,77.5,120.0,220.0,58.6,50.0,4006.4644790257103
2009,20.0,908.5050445103858,33.3,66.7,200.0,4006.4644790257103
2009,37.6,28.6,14.3,30.8,606.0225288159273,4006.4644790257103
2009,1036.8,54.1,214.3,98.4,140.0,4006.4644790257103
2009,37.8,400.0,997.7471821756225,28.6,606.0225288159273,4006.4644790257103
2009,82.4,900.0,100.0,13.6,606.0225288159273,4006.4644790257103
2009,1461.2,148.4,192.8,111.7,147.8,4006.4644790257103
2009,282.6,44.4,63.9,17.1,42.9,4006.4644790257103
2009,56.9,133.3,87.5,20.0,150.0,4006.4644790257103
2009,479.7,105.4,97.0,98.7,54.5,4006.4644790257103
2009,754.1,139.4,197.0,146.0,54.8,4006.4644790257103
2009,504.8,143.5,358.3,103.2,108.3,4006.4644790257103
2009,88.3,50.0,109.1,24.0,128.6,4006.4644790257103
2010,537.0,141.7,168.4,132.7,212.5,4006.4644790257103
2010,40.5,600.0,997.7471821756225,16.7,606.0225288159273,4006.4644790257103
2010,69.5,40.0,100.0,37.5,200.0,4006.4644790257103
2010,259.3,123.5,77.3,76.4,100.0,4006.4644790257103
2010,811.8,42.6,77.8,26.7,33.3,4006.4644790257103
2010,118.8,92.3,190.0,94.1,600.0,4006.4644790257103
2010,546.6,69.0,211.1,82.5,92.0,4006.4644790257103
2010,180.3,30.4,78.6,57.4,71.4,4006.4644790257103
2010,8.3,20.0,10.0,1157.552021089631,25.0,4006.4644790257103
2010,105.6,85.7,42.9,35.9,62.5,4006.4644790257103
2010,565.5,68.3,88.2,71.8,55.0,4006.4644790257103
2010,44.6,1000.0,150.0,20.0,300.0,4006.4644790257103
2010,157.2,216.7,142.9,37.1,300.0,4006.4644790257103
2010,49.8,120.0,20.0,25.0,50.0,4006.4644790257103
2010,88.0,66.7,114.3,31.6,33.3,4006.4644790257103
2010,2017.3,52.7,131.6,256.8,54.7,4006.4644790257103
2010,35.6,300.0,150.0,48.1,400.0,4006.4644790257103
2010,242.1,70.6,106.7,102.8,100.0,4006.4644790257103
2010,80.1,800.0,80.0,30.0,40.0,4006.4644790257103
2010,82.5,166.7,50.0,15.8,600.0,4006.4644790257103
2010,49.3,50.0,997.7471821756225,42.9,100.0,4006.4644790257103
2010,54.3,908.5050445103858,75.0,66.7,200.0,4006.4644790257103
2010,23.2,20.0,16.7,7.7,100.0,4006.4644790257103
2010,917.7,126.7,187.5,45.5,107.1,4006.4644790257103
2010,291.8,200.0,225.0,48.6,350.0,4006.4644790257103
2010,255.4,213.3,321.4,134.1,118.2,4006.4644790257103
2010,108.1,266.7,127.3,55.6,85.7,4006.4644790257103
2010,195.8,117.6,320.0,74.3,10.0,4006.4644790257103
2010,100.6,77.8,70.0,33.3,50.0,4006.4644790257103
2010,62.4,77.8,200.0,23.1,606.0225288159273,4006.4644790257103
2010,169.8,74.1,95.2,35.4,100.0,4006.4644790257103
2010,60.3,150.0,233.3,42.9,50.0,4006.4644790257103
2010,32.8,908.5050445103858,80.0,10.0,606.0225288159273,4006.4644790257103
2010,123.0,50.0,122.2,51.5,33.3,4006.4644790257103
2010,1148.4,124.6,196.1,143.6,60.0,4006.4644790257103
2010,47.8,908.5050445103858,25.0,42.9,606.0225288159273,4006.4644790257103
2010,251.3,90.9,78.9,56.8,11.1,4006.4644790257103
2010,395.6,60.0,46.2,9.6,83.3,4006.4644790257103
2010,1081.7,71.5,129.2,58.7,116.7,4006.4644790257103
2010,22.9,33.3,997.7471821756225,42.9,606.0225288159273,4006.4644790257103
2010,1055.1,48.8,197.7,229.8,59.4,4006.4644790257103
2010,119.1,112.5,133.3,37.0,100.0,4006.4644790257103
2010,436.2,146.4,133.3,117.6,68.4,4006.4644790257103
2010,110.1,500.0,600.0,120.0,500.0,4006.4644790257103
2010,380.9,50.0,53.3,42.9,60.0,4006.4644790257103
2010,145.8,137.5,400.0,126.3,200.0,4006.4644790257103
2010,88.5,166.7,350.0,61.5,100.0,4006.4644790257103
2010,60.5,908.5050445103858,200.0,37.5,100.0,4006.4644790257103
2010,544.5,600.0,480.0,198.6,123.1,4006.4644790257103
