01. Ano;02. Nome Região (Portugal);03. Âmbito Geográfico;04. Filtro 1;07. Escala;09. Valor
2009;Carrazeda de Ansiães;Município;35-44; pessoas;47.0
2009;Carrazeda de Ansiães;Município;45-54; pessoas;56.3
2009;Carrazeda de Ansiães;Município;55 ou mais anos; pessoas;36.9
2009;Carrazeda de Ansiães;Município;Menos de 25 anos; pessoas;36.1
2009;Carrazeda de Ansiães;Município;Total; pessoas;236.8
2009;Carregal do Sal;Município;25-34; pessoas;82.8
2009;Carregal do Sal;Município;35-44; pessoas;90.6
2009;Carregal do Sal;Município;45-54; pessoas;68.3
2009;Carregal do Sal;Município;55 ou mais anos; pessoas;80.3
2009;Carregal do Sal;Município;Menos de 25 anos; pessoas;64.0
2009;Carregal do Sal;Município;Total; pessoas;386.0
2009;Cartaxo;Município;25-34; pessoas;238.4
2009;Cartaxo;Município;35-44; pessoas;181.0
2009;Cartaxo;Município;45-54; pessoas;209.4
2009;Cartaxo;Município;55 ou mais anos; pessoas;203.3
2009;Cartaxo;Município;Menos de 25 anos; pessoas;107.6
2009;Cartaxo;Município;Total; pessoas;939.8
2009;Cascais;Município;25-34; pessoas;1722.5
2009;Cascais;Município;35-44; pessoas;1785.6
2009;Cascais;Município;45-54; pessoas;1729.9
2009;Cascais;Município;55 ou mais anos; pessoas;1504.1
2009;Cascais;Município;Menos de 25 anos; pessoas;722.0
2009;Cascais;Município;Total; pessoas;7464.1
2009;Castanheira de Pêra;Município;25-34; pessoas;33.3
2009;Castanheira de Pêra;Município;35-44; pessoas;34.9
2009;Castanheira de Pêra;Município;45-54; pessoas;39.4
2009;Castanheira de Pêra;Município;55 ou mais anos; pessoas;52.2
2009;Castanheira de Pêra;Município;Menos de 25 anos; pessoas;27.3
2009;Castanheira de Pêra;Município;Total; pessoas;187.0
2009;Castelo Branco;Município;25-34; pessoas;680.9
2009;Castelo Branco;Município;35-44; pessoas;571.1
2009;Castelo Branco;Município;45-54; pessoas;511.3
2009;Castelo Branco;Município;55 ou mais anos; pessoas;498.7
2009;Castelo Branco;Município;Menos de 25 anos; pessoas;392.8
2009;Castelo Branco;Município;Total; pessoas;2654.8
2009;Castelo de Paiva;Município;25-34; pessoas;213.6
2009;Castelo de Paiva;Município;35-44; pessoas;339.8
2009;Castelo de Paiva;Município;45-54; pessoas;351.3
2009;Castelo de Paiva;Município;55 ou mais anos; pessoas;232.8
2009;Castelo de Paiva;Município;Menos de 25 anos; pessoas;186.1
2009;Castelo de Paiva;Município;Total; pessoas;1323.5
2009;Castelo de Vide;Município;25-34; pessoas;27.2
2009;Castelo de Vide;Município;35-44; pessoas;22.1
2009;Castelo de Vide;Município;45-54; pessoas;13.8
2009;Castelo de Vide;Município;55 ou mais anos; pessoas;19.8
2009;Castelo de Vide;Município;Menos de 25 anos; pessoas;30.0
2009;Castelo de Vide;Município;Total; pessoas;112.8
2009;Castro Daire;Município;25-34; pessoas;108.3
2009;Castro Daire;Município;35-44; pessoas;99.3
2009;Castro Daire;Município;45-54; pessoas;107.1
2009;Castro Daire;Município;55 ou mais anos; pessoas;123.0
2009;Castro Daire;Município;Menos de 25 anos; pessoas;60.3
2009;Castro Daire;Município;Total; pessoas;498.1
2009;Castro Marim;Município;25-34; pessoas;51.7
2009;Castro Marim;Município;35-44; pessoas;50.0
2009;Castro Marim;Município;45-54; pessoas;52.0
2009;Castro Marim;Município;55 ou mais anos; pessoas;34.3
2009;Castro Marim;Município;Menos de 25 anos; pessoas;32.8
2009;Castro Marim;Município;Total; pessoas;220.8
2009;Castro Verde;Município;25-34; pessoas;61.1
2009;Castro Verde;Município;35-44; pessoas;56.5
2009;Castro Verde;Município;45-54; pessoas;65.3
2009;Castro Verde;Município;55 ou mais anos; pessoas;67.3
2009;Castro Verde;Município;Menos de 25 anos; pessoas;51.8
2009;Castro Verde;Município;Total; pessoas;302.1
2009;Celorico da Beira;Município;25-34; pessoas;70.7
2009;Celorico da Beira;Município;35-44; pessoas;42.1
2009;Celorico da Beira;Município;45-54; pessoas;53.2
2009;Celorico da Beira;Município;55 ou mais anos; pessoas;54.0
2009;Celorico da Beira;Município;Menos de 25 anos; pessoas;44.5
2009;Celorico da Beira;Município;Total; pessoas;264.4
2009;Celorico de Basto;Município;25-34; pessoas;314.3
2009;Celorico de Basto;Município;35-44; pessoas;307.4
2009;Celorico de Basto;Município;45-54; pessoas;327.0
2009;Celorico de Basto;Município;55 ou mais anos; pessoas;173.7
2009;Celorico de Basto;Município;Menos de 25 anos; pessoas;227.3
2009;Celorico de Basto;Município;Total; pessoas;1349.8
2009;Chamusca;Município;25-34; pessoas;102.8
2009;Chamusca;Município;35-44; pessoas;78.6
2009;Chamusca;Município;45-54; pessoas;101.7
2009;Chamusca;Município;55 ou mais anos; pessoas;99.9
2009;Chamusca;Município;Menos de 25 anos; pessoas;72.3
2009;Chamusca;Município;Total; pessoas;455.2
2009;Chaves;Município;25-34; pessoas;524.9
2009;Chaves;Município;35-44; pessoas;420.3
2009;Chaves;Município;45-54; pessoas;424.9
2009;Chaves;Município;55 ou mais anos; pessoas;342.3
2009;Chaves;Município;Menos de 25 anos; pessoas;329.8
2009;Chaves;Município;Total; pessoas;2042.3
2009;Cinfães;Município;25-34; pessoas;274.4
2009;Cinfães;Município;35-44; pessoas;304.7
2009;Cinfães;Município;45-54; pessoas;291.8
2009;Cinfães;Município;55 ou mais anos; pessoas;255.1
2009;Cinfães;Município;Menos de 25 anos; pessoas;152.3
2009;Cinfães;Município;Total; pessoas;1278.3
2009;Coimbra;Município;25-34; pessoas;1794.8
2009;Coimbra;Município;35-44; pessoas;1132.6
2009;Coimbra;Município;45-54; pessoas;1074.7
2009;Coimbra;Município;55 ou mais anos; pessoas;895.0
2009;Coimbra;Município;Menos de 25 anos; pessoas;806.3
2009;Coimbra;Município;Total; pessoas;5703.4
2009;Condeixa-a-Nova;Município;25-34; pessoas;129.3
2009;Condeixa-a-Nova;Município;35-44; pessoas;105.4
2009;Condeixa-a-Nova;Município;45-54; pessoas;74.5
2009;Condeixa-a-Nova;Município;55 ou mais anos; pessoas;82.3
2009;Condeixa-a-Nova;Município;Menos de 25 anos; pessoas;71.6
2009;Condeixa-a-Nova;Município;Total; pessoas;463.0
2009;Constância;Município;25-34; pessoas;46.7
2009;Constância;Município;35-44; pessoas;32.9
2009;Constância;Município;45-54; pessoas;33.0
2009;Constância;Município;55 ou mais anos; pessoas;28.9
2009;Constância;Município;Menos de 25 anos; pessoas;27.2
2009;Constância;Município;Total; pessoas;168.7
2009;Coruche;Município;25-34; pessoas;229.4
2009;Coruche;Município;35-44; pessoas;218.4
2009;Coruche;Município;45-54; pessoas;268.8
2009;Coruche;Município;55 ou mais anos; pessoas;316.8
2009;Coruche;Município;Menos de 25 anos; pessoas;126.8
2009;Coruche;Município;Total; pessoas;1160.3
